,Time,Open,High,Low,Close,Volume,EMA9,EMA21,EMA220
0,2012-12-30 17:21:00,4323.5,4323.75,4323.25,4323.5,19,4323.66503824493,4322.29011793893,4318.87143055653
1,2012-12-30 17:22:00,4320.83693687025,4322.357309794524,4317.316912126218,4318.749488884875,26,4322.681928372919,4321.9682425703795,4318.87032701199
2,2012-12-30 17:23:00,4320.6818500019945,4322.399281621474,4320.561252221497,4321.05119132651,31,4322.355780963638,4321.884874275483,4318.890063340629
3,2012-12-30 17:24:00,4319.343352882088,4327.445815196365,4319.330442559025,4326.170198738939,18,4323.118664518698,4322.274449226706,4318.955946918895
4,2012-12-30 17:25:00,4325.135547741595,4325.148022448986,4323.1491078996105,4324.4068102343645,16,4323.376293661831,4322.468300227401,4319.005275998673
5,2012-12-30 17:26:00,4319.829805060641,4328.4788367019555,4318.12422567975,4327.712507453063,26,4324.243536420077,4322.945046338825,4319.084074473373
6,2012-12-30 17:27:00,4326.829470808994,4327.297961267565,4321.46282410697,4323.949179559255,14,4324.184665047913,4323.036331177045,4319.128102573698
7,2012-12-30 17:28:00,4323.540654395019,4325.124792702813,4317.4890233385595,4320.552508006979,14,4323.458233639726,4322.810529070675,4319.140993120605
8,2012-12-30 17:29:00,4324.366884222427,4325.282334099341,4321.335409456794,4322.619237549174,20,4323.290434421616,4322.793138932357,4319.17247044575
9,2012-12-30 17:30:00,4326.575262232701,4328.390052735497,4322.381412191249,4322.858298447225,25,4323.204007226738,4322.7990625246175,4319.205826355265
10,2012-12-30 17:31:00,4321.209748506139,4324.537384993963,4321.072566007836,4323.163613612136,19,4323.195928503818,4322.832203532574,4319.241643434513
11,2012-12-30 17:32:00,4326.528372030379,4326.98022858651,4326.135474423386,4326.385938263192,16,4323.833930455693,4323.155270326266,4319.306297686357
12,2012-12-30 17:33:00,4324.177512420922,4336.907397130283,4322.930340103514,4334.9580983384485,20,4326.058764032245,4324.228254691009,4319.447942941127
13,2012-12-30 17:34:00,4335.896901386536,4336.591046645975,4331.877613766869,4334.89954357274,22,4327.826919940344,4325.198371862076,4319.587776431006
14,2012-12-30 17:35:00,4334.570409893455,4336.133067180415,4324.724461864129,4326.345781118137,11,4327.530692175903,4325.302681794445,4319.648934844465
15,2012-12-30 17:36:00,4325.170845589166,4326.705863672665,4324.678897941388,4326.154321522235,20,4327.25541804517,4325.38010358788,4319.707807122092
16,2012-12-30 17:37:00,4326.369442842145,4326.688557538752,4318.391249695429,4319.475297998855,13,4325.699394035907,4324.843303079786,4319.7057029671305
